2008-1	0.1
2008-2	0.11
2008-3	0.11
2008-4	0.1
2008-5	0.1
2008-6	0.1
2008-7	0.09
2008-8	0.1
2008-9	0.1
2008-10	0.09
2008-11	0.09
2008-12	0.1
2009-1	0.1
2009-2	0.09
2009-3	0.1
2009-4	0.1
2009-5	0.1
2009-6	0.09
2009-7	0.09
2009-8	0.09
2009-9	0.09
2009-10	0.1
2009-11	0.09
2009-12	0.09
2010-1	0.1
2010-2	0.1
2010-3	0.1
2010-4	0.09
2010-5	0.09
2010-6	0.1
2010-7	0.1
2010-8	0.09
2010-9	0.08
2010-10	0.08
2010-11	0.08
2010-12	0.1
2011-1	0.1
2011-2	0.08
2011-3	0.09
2011-4	0.1
2011-5	0.09
2011-6	0.09
2011-7	0.08
2011-8	0.09
2011-9	0.09
2011-10	0.1
2011-11	0.09
2011-12	0.09
2012-1	0.09
2012-2	0.1
2012-3	0.09
2012-4	0.09
2012-5	0.09
2012-6	0.09
2012-7	0.09
2012-8	0.1
2012-9	0.09
2012-10	0.1
2012-11	0.09
2012-12	0.09
2013-1	0.09
2013-2	0.1
2013-3	0.09
2013-4	0.09
2013-5	0.09
2013-6	0.09
2013-7	0.09
2013-8	0.09
2013-9	0.09
2013-10	0.09
2013-11	0.09
2013-12	0.09
2014-1	0.09
2014-2	0.1
2014-3	0.09
2014-4	0.09
2014-5	0.1
2014-6	0.09
2014-7	0.08
2014-8	0.11
2014-9	0.09
2014-10	0.1
2014-11	0.1
2014-12	0.1
2015-1	0.11
2015-2	0.09
2015-3	0.09
2015-4	0.09
2015-5	0.1
2015-6	0.1
2015-7	0.09
2015-8	0.11
2015-9	0.1
2015-10	0.1
2015-11	0.09
2015-12	0.1
2016-1	0.11
2016-2	0.1
2016-3	0.1
2016-4	0.11
2016-5	0.13
2016-6	0.15
2016-7	0.14
2016-8	0.16
2016-9	0.16
2016-10	0.16
2016-11	0.16
2016-12	0.16
2017-1	0.15
2017-2	0.18
2017-3	0.17
2017-4	0.16
2017-5	0.15
2017-6	0.16
2017-7	0.17
2017-8	0.17
2017-9	0.17
2017-10	0.17
2017-11	0.19
2017-12	0.21
2018-1	0.2
2018-2	0.22
2018-3	0.22
2018-4	0.21
2018-5	0.23
2018-6	0.22
2018-7	0.24
2018-8	0.23
2018-9	0.23
2018-10	0.24
2018-11	0.24
2018-12	0.26
2019-1	0.23
2019-2	0.24
2019-3	0.24
2019-4	0.23
2019-5	0.24
2019-6	0.22
2019-7	0.25
2019-8	0.23
2019-9	0.23
2019-10	0.23
2019-11	0.25
2019-12	0.25
